Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2019,01,14,22,30,00,93.55047
2019,01,14,23,00,00,95.071
2019,01,14,23,30,00,96.34994
2019,01,15,00,00,00,97.03564
2019,01,15,00,30,00,97.39925
2019,01,15,01,00,00,97.57128
2019,01,15,01,30,00,97.25944
2019,01,15,02,00,00,97.16656
2019,01,15,02,30,00,97.18006
2019,01,15,03,00,00,96.98153
2019,01,15,03,30,00,96.77306
2019,01,15,04,00,00,96.62175
2019,01,15,04,30,00,96.48678
2019,01,15,05,00,00,96.53575
2019,01,15,05,30,00,96.52078
2019,01,15,06,00,00,96.51267
2019,01,15,06,30,00,96.66269
2019,01,15,07,00,00,96.5815
2019,01,15,07,30,00,96.30861
2019,01,15,08,00,00,96.30075
2019,01,15,08,30,00,96.17311
2019,01,15,09,00,00,96.10003
2019,01,15,09,30,00,95.95122
2019,01,15,10,00,00,95.53078
2019,01,15,10,30,00,95.22231
2019,01,15,11,00,00,94.99008
2019,01,15,11,30,00,94.63514
2019,01,15,12,00,00,95.24653
2019,01,15,12,30,00,95.04633
2019,01,15,13,00,00,95.12225
2019,01,15,13,30,00,95.23414
2019,01,15,14,00,00,95.14467
2019,01,15,14,30,00,95.03406
2019,01,15,15,00,00,95.05292
2019,01,15,15,30,00,95.16711
2019,01,15,16,00,00,95.16958
2019,01,15,16,30,00,95.062
2019,01,15,17,00,00,94.94222
2019,01,15,17,30,00,94.68203
2019,01,15,18,00,00,94.64578
2019,01,15,18,30,00,94.21742
2019,01,15,19,00,00,94.69714
2019,01,15,19,30,00,95.05219
2019,01,15,20,00,00,95.24658
2019,01,15,20,30,00,94.52778
2019,01,15,21,00,00,94.40925
2019,01,15,21,30,00,95.59714
2019,01,15,22,00,00,96.57264
2019,01,15,22,30,00,96.74736
2019,01,15,23,00,00,96.22392
2019,01,15,23,30,00,95.92461
2019,01,16,00,00,00,95.873
2019,01,16,00,30,00,96.4285
2019,01,16,01,00,00,96.22147
2019,01,16,01,30,00,95.78531
2019,01,16,02,00,00,95.25481
2019,01,16,02,30,00,94.95394
2019,01,16,03,00,00,95.29908
2019,01,16,03,30,00,95.59514
2019,01,16,04,00,00,95.74281
2019,01,16,04,30,00,96.2397
2019,01,16,05,00,00,96.50792
2019,01,16,05,30,00,95.97908
2019,01,16,06,00,00,95.75986
2019,01,16,06,30,00,95.39639
2019,01,16,07,00,00,95.05831
2019,01,16,07,30,00,94.97036
2019,01,16,08,00,00,95.29728
2019,01,16,08,30,00,95.51358
2019,01,16,09,00,00,95.64933
2019,01,16,09,30,00,95.62175
2019,01,16,10,00,00,95.44939
2019,01,16,10,30,00,95.10494
2019,01,16,11,00,00,95.20386
2019,01,16,11,30,00,95.4748
2019,01,16,12,00,00,95.57817
2019,01,16,12,30,00,95.40067
2019,01,16,13,00,00,95.31639
2019,01,16,13,30,00,95.39645
2019,01,16,14,00,00,95.77825
2019,01,16,14,30,00,95.81525
2019,01,16,15,00,00,95.94553
2019,01,16,15,30,00,96.72042
2019,01,16,16,00,00,97.61
2019,01,16,16,30,00,96.93506
2019,01,16,17,00,00,96.34331
2019,01,16,17,30,00,95.89189
2019,01,16,18,00,00,95.54394
2019,01,16,18,30,00,95.19544
2019,01,16,19,00,00,94.99967
2019,01,16,19,30,00,94.87483
2019,01,16,20,00,00,94.69125
2019,01,16,20,30,00,94.57917
2019,01,16,21,00,00,94.52808
2019,01,16,21,30,00,94.4305
2019,01,16,22,00,00,94.39136
2019,01,16,22,30,00,94.24817
2019,01,16,23,00,00,94.10219
2019,01,16,23,30,00,93.92481
2019,01,17,00,00,00,93.87889
2019,01,17,00,30,00,93.95044
2019,01,17,01,00,00,94.09683
2019,01,17,01,30,00,94.27519
2019,01,17,02,00,00,94.46011
2019,01,17,02,30,00,94.73395
2019,01,17,03,00,00,94.82736
2019,01,17,03,30,00,95.02403
2019,01,17,04,00,00,95.10947
2019,01,17,04,30,00,95.30239
2019,01,17,05,00,00,95.53853
2019,01,17,05,30,00,95.71819
2019,01,17,06,00,00,95.84203
2019,01,17,06,30,00,95.80506
2019,01,17,07,00,00,95.69128
2019,01,17,07,30,00,95.58819
2019,01,17,08,00,00,95.43158
2019,01,17,08,30,00,95.18683
2019,01,17,09,00,00,94.97886
2019,01,17,09,30,00,94.71536
2019,01,17,10,00,00,94.003
2019,01,17,10,30,00,93.78155
2019,01,17,11,00,00,93.97369
2019,01,17,11,30,00,93.3185
2019,01,17,12,00,00,93.12225
2019,01,17,12,30,00,92.87097
2019,01,17,13,00,00,93.11728
